id,marca,modelo,precio
1,Xiaomi,972.29,121854.25
2,Huawei,638.51,135271.55
3,Xiaomi,509.13,82440.87
4,Microsoft,873.21,117530.80
5,Xiaomi,376.52,73719.91
6,Xiaomi,360.87,128194.94
7,Dell,267.70,55195.01
8,Acer,413.35,87460.80
9,Asus,801.97,103072.42
10,Acer,697.65,79089.81
11,HP,119.31,87629.83
12,Dell,136.53,122845.88
13,Asus,843.51,99164.83
14,Microsoft,839.57,44309.12
15,Microsoft,750.00,142675.66
16,Asus,421.26,85978.90
17,Microsoft,154.72,147777.29
18,Dell,458.80,142522.22
19,Dell,767.33,78527.05
20,Dell,556.30,130874.10
21,Huawei,88.83,132089.09
22,Samsung,106.10,34450.79
23,Microsoft,773.58,104027.67
24,Huawei,814.58,106225.05
25,Dell,383.23,142841.43
26,Acer,712.46,49388.44
27,Apple,2.08,79500.37
28,Xiaomi,701.31,54889.48
29,Xiaomi,408.49,71002.83
30,Apple,58.00,147536.33
31,Huawei,294.19,39128.52
32,Huawei,662.29,91701.72
33,Acer,337.83,105560.53
34,Microsoft,529.62,134384.38
35,Dell,378.55,103723.10
36,Razer,881.28,30387.05
37,Dell,255.47,35535.47
38,Acer,363.67,90819.04
39,Razer,622.26,33040.86
40,Razer,650.92,63162.18
41,Xiaomi,538.76,54249.64
42,Samsung,251.34,57883.48
43,Razer,863.43,139479.44
44,Razer,86.76,39712.66
45,Asus,79.23,73763.17
46,Xiaomi,851.15,114176.06
47,HP,44.31,145926.85
48,Dell,875.21,136655.60
49,Apple,613.51,88315.09
50,Apple,877.53,134574.71
51,Microsoft,518.46,91650.53
52,Microsoft,447.15,71510.33
53,Asus,396.88,56849.38
54,Razer,311.98,143747.63
55,Samsung,247.16,124861.48
56,Xiaomi,310.60,96716.60
57,Samsung,653.50,78151.83
58,Acer,368.56,136428.47
59,HP,363.66,104064.73
60,Apple,527.02,120413.34
61,Huawei,679.50,108551.00
62,Asus,25.52,115218.90
63,Microsoft,289.76,50517.00
64,Samsung,473.92,118436.17
65,Microsoft,482.21,36132.31
66,Microsoft,183.16,119867.85
67,Dell,352.71,71072.03
68,Xiaomi,446.95,139869.95
69,Samsung,175.42,50328.08
70,Acer,954.81,120634.88
71,Asus,821.93,91348.71
72,HP,712.31,143213.00
73,Xiaomi,120.79,118505.57
74,Acer,407.71,46297.16
75,Dell,720.06,104553.31
76,Apple,509.96,85303.20
77,Asus,625.68,79740.75
78,Asus,699.85,144359.90
79,Asus,163.51,55698.33
80,Razer,750.40,94332.73
81,Samsung,142.70,33107.12
82,Xiaomi,663.12,75061.96
83,HP,125.88,121861.72
84,Microsoft,282.05,35411.06
85,Dell,577.72,126195.23
86,Apple,868.97,95197.43
87,Samsung,159.60,86041.88
88,Samsung,955.73,46539.08
89,Xiaomi,91.57,80138.00
90,Huawei,930.05,75819.40
91,Acer,608.17,130365.13
92,Xiaomi,58.62,81383.01
93,Samsung,542.59,106987.82
94,Microsoft,344.83,126842.28
95,HP,5.75,35566.44
96,Samsung,234.38,52275.31
97,Xiaomi,635.03,141828.41
98,Microsoft,49.95,97126.56
99,Microsoft,847.20,48064.55
100,Microsoft,282.43,47991.19
